code;libelle;level;parentCode;isLeaf;pathCodes
BlockL1-BA8;Maladies de l'artère coronaire;L2;N11;FALSE;N11 | BlockL1-BA8
BlockL1-BB0;Cardiopathie pulmonaire ou maladies de la circulation pulmonaire;L2;N11;FALSE;N11 | BlockL1-BB0
BlockL1-BB2;Péricardite;L2;N11;FALSE;N11 | BlockL1-BB2
BlockL1-BB4;Endocardite aigüe ou subaigüe;L2;N11;FALSE;N11 | BlockL1-BB4
BlockL1-BB6;Maladies des valves cardiaques;L2;N11;FALSE;N11 | BlockL1-BB6
N11-9;Cardiopathies rhumatismales chroniques, non classées ailleurs;L2;N11;FALSE;N11 | N11-9
BlockL1-BC4;Maladies du myocarde ou des cavités cardiaques;L2;N11;FALSE;N11 | BlockL1-BC4
BlockL1-BC6;Arythmie cardiaque;L2;N11;FALSE;N11 | BlockL1-BC6
BlockL1-BD1;Insuffisance cardiaque;L2;N11;FALSE;N11 | BlockL1-BD1
BlockL1-BD3;Maladies des artères ou des artérioles;L2;N11;FALSE;N11 | BlockL1-BD3
BlockL1-BD7;Maladies des veines;L2;N11;FALSE;N11 | BlockL1-BD7
BlockL1-BD9;Troubles des vaisseaux lymphatiques ou des nœuds lymphatiques;L2;N11;FALSE;N11 | BlockL1-BD9
BlockL1-BE1;Affections du système circulatoire après un acte à visée diagnostique ou thérapeutique;L2;N11;FALSE;N11 | BlockL1-BE1
BlockL1-CA0;Affections des voies respiratoires supérieures;L2;N12;FALSE;N12 | BlockL1-CA0
BlockL1-CA2;Certaines affections des voies respiratoires inférieures;L2;N12;FALSE;N12 | BlockL1-CA2
BlockL1-CA4;Infections pulmonaires;L2;N12;FALSE;N12 | BlockL1-CA4
BlockL1-CA6;Maladies pulmonaires dues à des agents externes;L2;N12;FALSE;N12 | BlockL1-CA6
BlockL1-CB0;Maladies respiratoires affectant principalement l'interstitium pulmonaire;L2;N12;FALSE;N12 | BlockL1-CB0
BlockL1-CB2;Affections de la plèvre, du diaphragme ou du médiastin;L2;N12;FALSE;N12 | BlockL1-CB2
N12-7;Certaines maladies du système respiratoire;L2;N12;FALSE;N12 | N12-7
N12-8;Arrêt respiratoire;L2;N12;FALSE;N12 | N12-8
BlockL1-CB6;Affections du système respiratoire après un acte à visée diagnostique|ou thérapeutique;L2;N12;FALSE;N12 | BlockL1-CB6
N12-10;Maladies de l'appareil respiratoire, sans précision;L2;N12;TRUE;N12 | N12-10
BlockL1-DA0;Maladies ou affections du complexe orofacial;L2;N13;FALSE;N13 | BlockL1-DA0
BlockL1-DA2;Maladies de l'œsophage;L2;N13;FALSE;N13 | BlockL1-DA2
BlockL1-DA4;Maladies de l'estomac ou du duodénum;L2;N13;FALSE;N13 | BlockL1-DA4
BlockL1-DA9;Maladies de l'intestin grêle;L2;N13;FALSE;N13 | BlockL1-DA9
BlockL1-DB1;Maladies de l'appendice;L2;N13;FALSE;N13 | BlockL1-DB1
